"Method","Outcomes","Error"
"STW","Ankle
Flexion",0.0264929416032472
"CS","Ankle
Flexion",0.0328402088623689
"Nested ANOVA","Ankle
Flexion",0.032840208862369
"Cross-sectional ANOVA (Random)","Ankle
Flexion",0.026168580238178
"Cross-sectional ANOVA (Fixed)","Ankle
Flexion",0.026168580238178
"STW","Ankle
Moments
Flexion",1.05858940566619e-06
"CS","Ankle
Moments
Flexion",1.31220978410792e-06
"Nested ANOVA","Ankle
Moments
Flexion",1.31220978410794e-06
"Cross-sectional ANOVA (Random)","Ankle
Moments
Flexion",1.1955390130634e-06
"Cross-sectional ANOVA (Fixed)","Ankle
Moments
Flexion",1.1955390130634e-06
"STW","Head
Ad
Ab",0.0174185281948095
"CS","Head
Ad
Ab",0.0215917172414851
"Nested ANOVA","Head
Ad
Ab",0.0215917172414852
"Cross-sectional ANOVA (Random)","Head
Ad
Ab",0.0254603752417275
"Cross-sectional ANOVA (Fixed)","Head
Ad
Ab",0.0254603752417275
"STW","Head
Flexion",0.0153349482746611
"CS","Head
Flexion",0.0190089462988046
"Nested ANOVA","Head
Flexion",0.0190089462988044
"Cross-sectional ANOVA (Random)","Head
Flexion",0.0174756174430042
"Cross-sectional ANOVA (Fixed)","Head
Flexion",0.0174756174430042
"STW","Head
Int
Ext",0.0111676640680073
"CS","Head
Int
Ext",0.0138432502509682
"Nested ANOVA","Head
Int
Ext",0.0138432502509684
"Cross-sectional ANOVA (Random)","Head
Int
Ext",0.0155199453325357
"Cross-sectional ANOVA (Fixed)","Head
Int
Ext",0.0155199453325357
"STW","Hip
Ad
Ab",0.00811455647365042
"CS","Hip
Ad
Ab",0.0100586689621295
"Nested ANOVA","Hip
Ad
Ab",0.0100586689621292
"Cross-sectional ANOVA (Random)","Hip
Ad
Ab",0.00914984105392547
"Cross-sectional ANOVA (Fixed)","Hip
Ad
Ab",0.00914984105392547
"STW","Hip
Flexion",0.0384801445703746
"CS","Hip
Flexion",0.0476993458736653
"Nested ANOVA","Hip
Flexion",0.047699345873664
"Cross-sectional ANOVA (Random)","Hip
Flexion",0.0504288749824371
"Cross-sectional ANOVA (Fixed)","Hip
Flexion",0.0504288749824371
"STW","Hip
Int
Ext",0.0237202652513148
"CS","Hip
Int
Ext",0.029403245467778
