"Method","Outcomes","Error"
"STW","Ankle
Flexion",0.0291995486217244
"CS","Ankle
Flexion",0.0361952738123581
"Nested ANOVA","Ankle
Flexion",0.0361952738123585
"Cross-sectional ANOVA (Random)","Ankle
Flexion",0.0287742333741641
"Cross-sectional ANOVA (Fixed)","Ankle
Flexion",0.0287742333741641
"STW","Ankle
Moments
Flexion",1.24328009013406e-06
"CS","Ankle
Moments
Flexion",1.54114927839547e-06
"Nested ANOVA","Ankle
Moments
Flexion",1.54114927839545e-06
"Cross-sectional ANOVA (Random)","Ankle
Moments
Flexion",8.85897320010627e-07
"Cross-sectional ANOVA (Fixed)","Ankle
Moments
Flexion",8.85897320010627e-07
"STW","Head
Ad
Ab",0.0152421112760086
"CS","Head
Ad
Ab",0.0188938671025517
"Nested ANOVA","Head
Ad
Ab",0.0188938671025523
"Cross-sectional ANOVA (Random)","Head
Ad
Ab",0.0131212499647155
"Cross-sectional ANOVA (Fixed)","Head
Ad
Ab",0.0131212499647155
"STW","Head
Flexion",0.0262820526868282
"CS","Head
Flexion",0.0325787944764036
"Nested ANOVA","Head
Flexion",0.0325787944764032
"Cross-sectional ANOVA (Random)","Head
Flexion",0.0307861929220373
"Cross-sectional ANOVA (Fixed)","Head
Flexion",0.0307861929220373
"STW","Head
Int
Ext",0.00720889142047455
"CS","Head
Int
Ext",0.00893602165662716
"Nested ANOVA","Head
Int
Ext",0.00893602165662737
"Cross-sectional ANOVA (Random)","Head
Int
Ext",0.0103165095687353
"Cross-sectional ANOVA (Fixed)","Head
Int
Ext",0.0103165095687353
"STW","Hip
Ad
Ab",0.00597570537644556
"CS","Hip
Ad
Ab",0.00740738478955132
"Nested ANOVA","Hip
Ad
Ab",0.00740738478955175
"Cross-sectional ANOVA (Random)","Hip
Ad
Ab",0.00535757980096584
"Cross-sectional ANOVA (Fixed)","Hip
Ad
Ab",0.00535757980096584
"STW","Hip
Flexion",0.0311390405472798
"CS","Hip
Flexion",0.0385994356783727
"Nested ANOVA","Hip
Flexion",0.0385994356783739
"Cross-sectional ANOVA (Random)","Hip
Flexion",0.0287334649744248
"Cross-sectional ANOVA (Fixed)","Hip
Flexion",0.0287334649744248
"STW","Hip
Int
Ext",0.0155559705143979
"CS","Hip
Int
Ext",0.019282921783473
"Nested ANOVA","Hip
Int
Ext",0.0192829217834728
"Cross-sectional ANOVA (Random)","Hip
Int
Ext",0.0119592228424154
"Cross-sectional ANOVA (Fixed)","Hip
Int
Ext",0.0119592228424154
"STW","Hip
Moments
Ad
Ab",6.64702848486406e-06
"CS","Hip
Moments
Ad
Ab",8.23954572602949e-06
"Nested ANOVA","Hip
Moments
Ad
Ab",8.23954572602968e-06
"Cross-sectional ANOVA (Random)","Hip
Moments
Ad
Ab",4.71208185710466e-06
"Cross-sectional ANOVA (Fixed)","Hip
Moments
Ad
Ab",4.71208185710466e-06
"STW","Hip
Moments
Flexion",8.9307571877206e-05
"CS","Hip
Moments
Flexion",0.000110704177639458
"Nested ANOVA","Hip
Moments
Flexion",0.000110704177639458
"Cross-sectional ANOVA (Random)","Hip
Moments
Flexion",8.06965804363392e-05
"Cross-sectional ANOVA (Fixed)","Hip
Moments
Flexion",8.06965804363392e-05
"STW","Hip
Moments
Int
Ext",2.05049575803382e-07
"CS","Hip
Moments
Int
Ext",2.54176036672961e-07
"Nested ANOVA","Hip
Moments
Int
Ext",2.54176036672966e-07
