"Method","Error","Outcome"
"STW",0.00447181384647602,"Head
Flexion"
"STW",0.00469799708972341,"Head
Flexion"
"STW",0.00508401055378772,"Head
Flexion"
"STW",0.00559299256290955,"Head
Flexion"
"STW",0.00617318778080442,"Head
Flexion"
"STW",0.00680621083220719,"Head
Flexion"
"STW",0.00745112753386346,"Head
Flexion"
"STW",0.00806513111077993,"Head
Flexion"
"STW",0.00861265257245388,"Head
Flexion"
"STW",0.00906402540650113,"Head
Flexion"
"STW",0.0093982229941341,"Head
Flexion"
"STW",0.00961005341483541,"Head
Flexion"
"STW",0.00971212864326362,"Head
Flexion"
"STW",0.00972188217646948,"Head
Flexion"
"STW",0.00966763971966168,"Head
Flexion"
"STW",0.00958282210588892,"Head
Flexion"
"STW",0.00952103765347501,"Head
Flexion"
"STW",0.00955551729568578,"Head
Flexion"
"STW",0.00975792564501161,"Head
Flexion"
"STW",0.0101799743528471,"Head
Flexion"
"STW",0.0108318674362538,"Head
Flexion"
"STW",0.011671503811948,"Head
Flexion"
"STW",0.0126112153832255,"Head
Flexion"
"STW",0.0135385146786284,"Head
Flexion"
"STW",0.0143618465046763,"Head
Flexion"
"STW",0.015026078041918,"Head
Flexion"
"STW",0.0155168610511115,"Head
Flexion"
"STW",0.0158676943784025,"Head
Flexion"
"STW",0.0161430046356029,"Head
Flexion"
"STW",0.0164135005748364,"Head
Flexion"
"STW",0.0167402633016671,"Head
Flexion"
"STW",0.0171630175121275,"Head
Flexion"
"STW",0.0177033799035851,"Head
Flexion"
"STW",0.0183771415760271,"Head
Flexion"
"STW",0.0191762281424672,"Head
Flexion"
"STW",0.0200779939358929,"Head
Flexion"
"STW",0.0210529145323226,"Head
Flexion"
"STW",0.0220810288401572,"Head
Flexion"
"STW",0.0231267689053059,"Head
Flexion"
"STW",0.0241433865632494,"Head
Flexion"
"STW",0.0250604520168306,"Head
Flexion"
"STW",0.0258132378623491,"Head
Flexion"
"STW",0.0263556652955782,"Head
Flexion"
"STW",0.0266760459553145,"Head
Flexion"
"STW",0.0267938274171098,"Head
Flexion"
"STW",0.0267461391782022,"Head
Flexion"
"STW",0.0265946460763963,"Head
Flexion"
"STW",0.0264140912187553,"Head
Flexion"
"STW",0.0262809420743323,"Head
Flexion"
"STW",0.0262698683690085,"Head
Flexion"
"STW",0.0264565002965443,"Head
Flexion"
"STW",0.0268744464742453,"Head
Flexion"
"STW",0.027536189340073,"Head
Flexion"
"STW",0.0284039806719099,"Head
Flexion"
"STW",0.0293595417689961,"Head
Flexion"
"STW",0.0302477780515129,"Head
Flexion"
"STW",0.0308750918670854,"Head
Flexion"
"STW",0.0310494154914507,"Head
Flexion"
"STW",0.0306875045165531,"Head
Flexion"
"STW",0.029797452066056,"Head
Flexion"
"STW",0.0284453932442534,"Head
Flexion"
"STW",0.0267281539873617,"Head
Flexion"
"STW",0.0247501694008947,"Head
Flexion"
"STW",0.0225870612020138,"Head
Flexion"
"STW",0.0203200114396946,"Head
Flexion"
"STW",0.0180565675654198,"Head
Flexion"
"STW",0.015933079294585,"Head
Flexion"
"STW",0.0140744451975257,"Head
Flexion"
"STW",0.0125778495976815,"Head
Flexion"
"STW",0.0114782104490699,"Head
Flexion"
"STW",0.0107498953129869,"Head
Flexion"
"STW",0.0103222183229222,"Head
Flexion"
"STW",0.0101012283642015,"Head
Flexion"
"STW",0.00998463952770215,"Head
Flexion"
"STW",0.00988773658646806,"Head
Flexion"
"STW",0.0097584528446157,"Head
Flexion"
"STW",0.00957178741596217,"Head
Flexion"
"STW",0.00932674793216879,"Head
Flexion"
"STW",0.00904271661154265,"Head
Flexion"
"STW",0.00875070230173867,"Head
Flexion"
"STW",0.00848230383677905,"Head
Flexion"
"STW",0.00825635106549403,"Head
Flexion"
"STW",0.0080709037567334,"Head
Flexion"
"STW",0.00791933332043413,"Head
Flexion"
"STW",0.00779145995222448,"Head
Flexion"
"STW",0.00768130394094771,"Head
Flexion"
"STW",0.00758028860011334,"Head
Flexion"
"STW",0.00748431737667396,"Head
Flexion"
"STW",0.00739738971862723,"Head
Flexion"
"STW",0.0073382989266688,"Head
Flexion"
"STW",0.00733520426733771,"Head
Flexion"
"STW",0.00742716387912264,"Head
Flexion"
"STW",0.00765168154999638,"Head
Flexion"
"STW",0.00804266220497227,"Head
Flexion"
"STW",0.00863843681440288,"Head
Flexion"
"STW",0.00947304586449358,"Head
Flexion"
"STW",0.0105884427999574,"Head
Flexion"
"STW",0.012024265659483,"Head
Flexion"
"STW",0.0138254089491159,"Head
Flexion"
"STW",0.0160369482449914,"Head
Flexion"
"STW",0.0186941194049062,"Head
Flexion"
"CS",0.00554318591385293,"Head
Flexion"
"CS",0.00582355889249769,"Head
Flexion"
"CS",0.00630205474893873,"Head
Flexion"
"CS",0.00693298036464642,"Head
Flexion"
"CS",0.00765218068667398,"Head
Flexion"
"CS",0.00843686551055833,"Head
Flexion"
"CS",0.00923629350532896,"Head
Flexion"
"CS",0.00999740210582957,"Head
Flexion"
"CS",0.0106761005844587,"Head
Flexion"
"CS",0.0112356148269149,"Head
Flexion"
"CS",0.0116498805864451,"Head
Flexion"
"CS",0.0119124620455947,"Head
Flexion"
"CS",0.0120389927974184,"Head
Flexion"
"CS",0.0120510831146024,"Head
Flexion"
"CS",0.0119838450690928,"Head
Flexion"
"CS",0.011878706568802,"Head
Flexion"
