"Method","Error","Outcome"
"STW",0.0216186834530506,"Head
Flexion"
"STW",0.0216769285599149,"Head
Flexion"
"STW",0.0217124472497263,"Head
Flexion"
"STW",0.021811436530599,"Head
Flexion"
"STW",0.0220562213529445,"Head
Flexion"
"STW",0.0225023153846627,"Head
Flexion"
"STW",0.0231538974238576,"Head
Flexion"
"STW",0.0239756514776964,"Head
Flexion"
"STW",0.0248954558296639,"Head
Flexion"
"STW",0.0258142507451745,"Head
Flexion"
"STW",0.0266239022657818,"Head
Flexion"
"STW",0.027217395084434,"Head
Flexion"
"STW",0.0275213183041943,"Head
Flexion"
"STW",0.0274983231961638,"Head
Flexion"
"STW",0.0271537773383278,"Head
Flexion"
"STW",0.0265293137728774,"Head
Flexion"
"STW",0.0257120996642829,"Head
Flexion"
"STW",0.0247984412846542,"Head
Flexion"
"STW",0.0238756563741447,"Head
Flexion"
"STW",0.0230093820250298,"Head
Flexion"
"STW",0.0222255055808155,"Head
Flexion"
"STW",0.021523440220802,"Head
Flexion"
"STW",0.0208803279004568,"Head
Flexion"
"STW",0.0202638771693241,"Head
Flexion"
"STW",0.0196419264511251,"Head
Flexion"
"STW",0.0190005277987722,"Head
Flexion"
"STW",0.0183388726265916,"Head
Flexion"
"STW",0.0176663871099613,"Head
Flexion"
"STW",0.0170036298270738,"Head
Flexion"
"STW",0.0163761517237862,"Head
Flexion"
"STW",0.0158037708131665,"Head
Flexion"
"STW",0.0153050802042694,"Head
Flexion"
"STW",0.0148927958621656,"Head
Flexion"
"STW",0.0145730011779906,"Head
Flexion"
"STW",0.0143430683082268,"Head
Flexion"
"STW",0.0141965969753724,"Head
Flexion"
"STW",0.0141247924935237,"Head
Flexion"
"STW",0.0141271979485956,"Head
Flexion"
"STW",0.0142027050831707,"Head
Flexion"
"STW",0.0143482268303459,"Head
Flexion"
"STW",0.0145583501098827,"Head
Flexion"
"STW",0.0148403043751701,"Head
Flexion"
"STW",0.0151988602486227,"Head
Flexion"
"STW",0.0156435050901869,"Head
Flexion"
"STW",0.0161838689551291,"Head
Flexion"
"STW",0.0168291507908529,"Head
Flexion"
"STW",0.0175903054927447,"Head
Flexion"
"STW",0.0184757794730418,"Head
Flexion"
"STW",0.0194834761178687,"Head
Flexion"
"STW",0.0206217169492958,"Head
Flexion"
"STW",0.0219051197274208,"Head
Flexion"
"STW",0.0233425171637707,"Head
Flexion"
"STW",0.0249332654197081,"Head
Flexion"
"STW",0.0266310073345906,"Head
Flexion"
"STW",0.0283419599004499,"Head
Flexion"
"STW",0.0299277299729693,"Head
Flexion"
"STW",0.0312421848794937,"Head
Flexion"
"STW",0.0321571531110287,"Head
Flexion"
"STW",0.0326326232849018,"Head
Flexion"
"STW",0.0327164422478467,"Head
Flexion"
"STW",0.0324969463664413,"Head
Flexion"
"STW",0.0320746262969118,"Head
Flexion"
"STW",0.0315401352240404,"Head
Flexion"
"STW",0.0309552617755612,"Head
Flexion"
"STW",0.0303580366653291,"Head
Flexion"
"STW",0.0297633057427271,"Head
Flexion"
"STW",0.0291772382734809,"Head
Flexion"
"STW",0.0286004842723494,"Head
Flexion"
"STW",0.0280402266713313,"Head
Flexion"
"STW",0.0275083621561031,"Head
Flexion"
"STW",0.0270148578529268,"Head
Flexion"
"STW",0.026576209733168,"Head
Flexion"
